source_family_id,source_family_label,best_matching_prompt_family_id,best_matching_prompt_family_label,denoise,count,proportion
descriptive,Descriptive,descriptive,Descriptive,1.0,30,1.0
descriptive,Descriptive,abstract,Abstract,1.0,0,0.0
descriptive,Descriptive,unconditioned,Unconditioned,1.0,0,0.0
abstract,Abstract,descriptive,Descriptive,1.0,11,0.36666666666666664
abstract,Abstract,abstract,Abstract,1.0,19,0.6333333333333333
abstract,Abstract,unconditioned,Unconditioned,1.0,0,0.0
unconditioned,Unconditioned,descriptive,Descriptive,1.0,4,0.13333333333333333
unconditioned,Unconditioned,abstract,Abstract,1.0,26,0.8666666666666667
unconditioned,Unconditioned,unconditioned,Unconditioned,1.0,0,0.0
descriptive,Descriptive,descriptive,Descriptive,0.7,30,1.0
descriptive,Descriptive,abstract,Abstract,0.7,0,0.0
descriptive,Descriptive,unconditioned,Unconditioned,0.7,0,0.0
abstract,Abstract,descriptive,Descriptive,0.7,13,0.43333333333333335
abstract,Abstract,abstract,Abstract,0.7,17,0.5666666666666667
abstract,Abstract,unconditioned,Unconditioned,0.7,0,0.0
unconditioned,Unconditioned,descriptive,Descriptive,0.7,11,0.36666666666666664
unconditioned,Unconditioned,abstract,Abstract,0.7,19,0.6333333333333333
unconditioned,Unconditioned,unconditioned,Unconditioned,0.7,0,0.0
descriptive,Descriptive,descriptive,Descriptive,0.55,30,1.0
descriptive,Descriptive,abstract,Abstract,0.55,0,0.0
descriptive,Descriptive,unconditioned,Unconditioned,0.55,0,0.0
abstract,Abstract,descriptive,Descriptive,0.55,16,0.5333333333333333
abstract,Abstract,abstract,Abstract,0.55,14,0.4666666666666667
abstract,Abstract,unconditioned,Unconditioned,0.55,0,0.0
unconditioned,Unconditioned,descriptive,Descriptive,0.55,9,0.3
unconditioned,Unconditioned,abstract,Abstract,0.55,21,0.7
unconditioned,Unconditioned,unconditioned,Unconditioned,0.55,0,0.0
descriptive,Descriptive,descriptive,Descriptive,0.4,25,0.8333333333333334
descriptive,Descriptive,abstract,Abstract,0.4,5,0.16666666666666666
descriptive,Descriptive,unconditioned,Unconditioned,0.4,0,0.0
abstract,Abstract,descriptive,Descriptive,0.4,11,0.36666666666666664
abstract,Abstract,abstract,Abstract,0.4,19,0.6333333333333333
abstract,Abstract,unconditioned,Unconditioned,0.4,0,0.0
unconditioned,Unconditioned,descriptive,Descriptive,0.4,10,0.3333333333333333
unconditioned,Unconditioned,abstract,Abstract,0.4,20,0.6666666666666666
unconditioned,Unconditioned,unconditioned,Unconditioned,0.4,0,0.0
