family_id,family_label,denoise,n,mean_pairwise_cosine_distance,std_pairwise_cosine_distance,min_pairwise_cosine_distance,max_pairwise_cosine_distance,mean_pairwise_cosine_similarity
descriptive,Descriptive,1.0,30,0.6881439089775085,0.24563951790332794,0.0378185510635376,1.088653564453125,0.31185609102249146
descriptive,Descriptive,0.7,30,0.7343193888664246,0.2511095404624939,0.022481918334960938,1.159633755683899,0.26568061113357544
descriptive,Descriptive,0.55,30,0.7403924465179443,0.2382243126630783,0.07550740242004395,1.170853614807129,0.25960755348205566
descriptive,Descriptive,0.4,30,0.724811851978302,0.2142152190208435,0.10064035654067993,1.1967010498046875,0.275188148021698
abstract,Abstract,1.0,30,0.5135719180107117,0.17215442657470703,0.12256741523742676,1.0329022407531738,0.48642808198928833
abstract,Abstract,0.7,30,0.5329845547676086,0.17284806072711945,0.10388165712356567,1.0425578355789185,0.46701544523239136
abstract,Abstract,0.55,30,0.5295392870903015,0.17576280236244202,0.10617542266845703,1.0391268730163574,0.4704607129096985
abstract,Abstract,0.4,30,0.43886682391166687,0.14691592752933502,0.15202856063842773,0.8987405896186829,0.5611331462860107
unconditioned,Unconditioned,1.0,30,0.6059250235557556,0.1709171086549759,0.18163394927978516,1.0998157262802124,0.3940749764442444
unconditioned,Unconditioned,0.7,30,0.5845283269882202,0.17986099421977997,0.2200663685798645,1.1222103834152222,0.4154716730117798
unconditioned,Unconditioned,0.55,30,0.5422893166542053,0.16699369251728058,0.18352967500686646,1.0493448972702026,0.4577106833457947
unconditioned,Unconditioned,0.4,30,0.4219776690006256,0.13736526668071747,0.1199718713760376,0.8849397301673889,0.5780223608016968
